"Plot Title: 10767837"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767837, SEN S/N: 10767837)","Coupler Detached (LGR S/N: 10767837)","Coupler Attached (LGR S/N: 10767837)","Host Connected (LGR S/N: 10767837)","Stopped (LGR S/N: 10767837)","End Of File (LGR S/N: 10767837)"
117,08/07/15 03:06:52 PM,68.785,,,,,
118,08/07/15 04:06:52 PM,70.930,,,,,
119,08/07/15 05:06:52 PM,72.093,,,,,
120,08/07/15 06:06:52 PM,72.610,,,,,
121,08/07/15 07:06:52 PM,71.748,,,,,
122,08/07/15 08:06:52 PM,69.514,,,,,
123,08/07/15 09:06:52 PM,66.643,,,,,
124,08/07/15 10:06:52 PM,63.732,,,,,
125,08/07/15 11:06:52 PM,61.590,,,,,
126,08/08/15 12:06:52 AM,59.959,,,,,
127,08/08/15 01:06:52 AM,58.669,,,,,
128,08/08/15 02:06:52 AM,57.592,,,,,
129,08/08/15 03:06:52 AM,56.642,,,,,
130,08/08/15 04:06:52 AM,55.863,,,,,
131,08/08/15 05:06:52 AM,55.342,,,,,
132,08/08/15 06:06:52 AM,54.865,,,,,
133,08/08/15 07:06:52 AM,54.604,,,,,
134,08/08/15 08:06:52 AM,54.430,,,,,
135,08/08/15 09:06:52 AM,56.512,,,,,
136,08/08/15 10:06:52 AM,53.994,,,,,
137,08/08/15 11:06:52 AM,49.782,,,,,
138,08/08/15 12:06:52 PM,47.289,,,,,
139,08/08/15 01:06:52 PM,50.752,,,,,
140,08/08/15 02:06:52 PM,34.761,,,,,
141,08/08/15 03:06:52 PM,34.957,,,,,
142,08/08/15 04:06:52 PM,35.638,,,,,
143,08/08/15 05:06:52 PM,35.055,,,,,
144,08/08/15 06:06:52 PM,34.761,,,,,
145,08/08/15 07:06:52 PM,34.761,,,,,
146,08/08/15 08:06:52 PM,34.615,,,,,
147,08/08/15 09:06:52 PM,34.615,,,,,
148,08/08/15 10:06:52 PM,34.565,,,,,
149,08/08/15 11:06:52 PM,34.516,,,,,
150,08/09/15 12:06:52 AM,34.516,,,,,
151,08/09/15 01:06:52 AM,34.516,,,,,
152,08/09/15 02:06:52 AM,34.468,,,,,
153,08/09/15 03:06:52 AM,34.320,,,,,
154,08/09/15 04:06:52 AM,34.124,,,,,
155,08/09/15 05:06:52 AM,33.928,,,,,
156,08/09/15 06:06:52 AM,33.978,,,,,
157,08/09/15 07:06:52 AM,34.124,,,,,
158,08/09/15 08:06:52 AM,34.320,,,,,
159,08/09/15 09:06:52 AM,35.685,,,,,
160,08/09/15 10:06:52 AM,37.321,,,,,
161,08/09/15 11:06:52 AM,37.846,,,,,
162,08/09/15 12:06:52 PM,38.415,,,,,
163,08/09/15 01:06:52 PM,38.179,,,,,
164,08/09/15 02:06:52 PM,38.179,,,,,
165,08/09/15 03:06:52 PM,37.513,,,,,
166,08/09/15 04:06:52 PM,36.072,,,,,
167,08/09/15 05:06:52 PM,35.685,,,,,
168,08/09/15 06:06:52 PM,35.006,,,,,
169,08/09/15 07:06:52 PM,35.006,,,,,
170,08/09/15 08:06:52 PM,34.713,,,,,
171,08/09/15 09:06:52 PM,34.664,,,,,
172,08/09/15 10:06:52 PM,34.615,,,,,
173,08/09/15 11:06:52 PM,34.615,,,,,
174,08/10/15 12:06:52 AM,34.516,,,,,
175,08/10/15 01:06:52 AM,34.516,,,,,
176,08/10/15 02:06:52 AM,34.516,,,,,
177,08/10/15 03:06:52 AM,34.419,,,,,
178,08/10/15 04:06:52 AM,34.419,,,,,
179,08/10/15 05:06:52 AM,34.223,,,,,
180,08/10/15 06:06:52 AM,34.223,,,,,
181,08/10/15 07:06:52 AM,34.124,,,,,
182,08/10/15 08:06:52 AM,34.419,,,,,
183,08/10/15 09:06:52 AM,35.928,,,,,
184,08/10/15 10:06:52 AM,37.609,,,,,
185,08/10/15 11:06:52 AM,38.226,,,,,
186,08/10/15 12:06:52 PM,38.653,,,,,
187,08/10/15 01:06:52 PM,38.226,,,,,
188,08/10/15 02:06:52 PM,37.751,,,,,
189,08/10/15 03:06:52 PM,37.465,,,,,
190,08/10/15 04:06:52 PM,36.361,,,,,
191,08/10/15 05:06:52 PM,35.879,,,,,
192,08/10/15 06:06:52 PM,35.589,,,,,
193,08/10/15 07:06:52 PM,34.907,,,,,
194,08/10/15 08:06:52 PM,34.713,,,,,
195,08/10/15 09:06:52 PM,34.858,,,,,
