"ï»¿""Plot Title: 10972588""",,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 10972588, SEN S/N: 10972588)",Coupler Detached (LGR S/N: 10972588),End Of File (LGR S/N: 10972588),,
154,7/26/16 23:13,26.622,,,,
155,7/26/16 23:28,26.085,,,,
156,7/26/16 23:43,25.574,,,,
157,7/26/16 23:58,25.04,,,,
158,7/27/16 0:13,24.532,,,,
159,7/27/16 0:28,24.026,,,,
160,7/27/16 0:43,23.545,,,,
161,7/27/16 0:58,23.04,,,,
162,7/27/16 1:13,22.537,,,,
163,7/27/16 1:28,22.058,,,,
164,7/27/16 1:43,21.557,,,,
165,7/27/16 1:58,21.079,,,,
166,7/27/16 2:13,20.627,,,,
167,7/27/16 2:28,20.15,,,,
168,7/27/16 2:43,19.722,,,,
169,7/27/16 2:58,19.27,,,,
170,7/27/16 3:13,18.866,,,,
171,7/27/16 3:28,18.438,,,,
172,7/27/16 3:43,18.01,,,,
173,7/27/16 3:58,17.605,,,,
174,7/27/16 4:13,17.225,,,,
175,7/27/16 4:28,16.844,,,,
176,7/27/16 4:43,16.463,,,,
177,7/27/16 4:58,16.106,,,,
178,7/27/16 5:13,15.724,,,,
179,7/27/16 5:28,15.39,,,,
180,7/27/16 5:43,15.055,,,,
181,7/27/16 5:58,14.721,,,,
182,7/27/16 6:13,14.385,,,,
183,7/27/16 6:28,14.098,,,,
184,7/27/16 6:43,13.786,,,,
185,7/27/16 6:58,13.522,,,,
186,7/27/16 7:13,13.257,,,,
187,7/27/16 7:28,13.04,,,,
188,7/27/16 7:43,12.871,,,,
189,7/27/16 7:58,12.751,,,,
190,7/27/16 8:13,12.63,,,,
191,7/27/16 8:28,12.582,,,,
192,7/27/16 8:43,12.606,,,,
193,7/27/16 8:58,12.678,,,,
194,7/27/16 9:13,12.775,,,,
195,7/27/16 9:28,12.896,,,,
196,7/27/16 9:43,13.016,,,,
197,7/27/16 9:58,13.185,,,,
198,7/27/16 10:13,13.353,,,,
199,7/27/16 10:28,13.546,,,,
200,7/27/16 10:43,13.762,,,,
201,7/27/16 10:58,14.026,,,,
202,7/27/16 11:13,14.385,,,,
203,7/27/16 11:28,14.792,,,,
204,7/27/16 11:43,15.247,,,,
205,7/27/16 11:58,15.7,,,,
206,7/27/16 12:13,16.153,,,,
207,7/27/16 12:28,16.558,,,,
208,7/27/16 12:43,16.963,,,,
209,7/27/16 12:58,17.296,,,,
210,7/27/16 13:13,17.653,,,,
211,7/27/16 13:28,17.986,,,,
212,7/27/16 13:43,18.319,,,,
213,7/27/16 13:58,18.628,,,,
214,7/27/16 14:13,18.985,,,,
215,7/27/16 14:28,19.389,,,,
216,7/27/16 14:43,19.936,,,,
217,7/27/16 14:58,20.579,,,,
218,7/27/16 15:13,21.342,,,,
219,7/27/16 15:28,22.202,,,,
220,7/27/16 15:43,23.184,,,,
221,7/27/16 15:58,24.219,,,,
222,7/27/16 16:13,25.283,,,,
223,7/27/16 16:28,26.353,,,,
224,7/27/16 16:43,27.431,,,,
225,7/27/16 16:58,28.518,,,,
226,7/27/16 17:13,29.54,,,,
227,7/27/16 17:28,30.545,,,,
228,7/27/16 17:43,31.459,,,,
229,7/27/16 17:58,32.33,,,,
230,7/27/16 18:13,33.131,,,,
231,7/27/16 18:28,33.783,,,,
232,7/27/16 18:43,34.202,,,,
233,7/27/16 18:58,34.492,,,,
234,7/27/16 19:13,34.651,,,,
235,7/27/16 19:28,34.624,,,,
236,7/27/16 19:43,34.466,,,,
237,7/27/16 19:58,34.229,,,,
238,7/27/16 20:13,33.887,,,,
239,7/27/16 20:28,33.469,,,,
240,7/27/16 20:43,32.975,,,,
241,7/27/16 20:58,32.433,,,,
242,7/27/16 21:13,31.816,,,,
243,7/27/16 21:28,31.204,,,,
244,7/27/16 21:43,30.571,,,,
245,7/27/16 21:58,29.941,,,,
246,7/27/16 22:13,29.365,,,,
247,7/27/16 22:28,28.816,,,,
248,7/27/16 22:43,28.27,,,,
249,7/27/16 22:58,27.751,,,,
250,7/27/16 23:13,27.259,,,,
251,7/27/16 23:28,26.793,,,,
252,7/27/16 23:43,26.353,,,,
253,7/27/16 23:58,25.939,,,,
254,7/28/16 0:13,25.55,,,,
255,7/28/16 0:28,25.137,,,,
256,7/28/16 0:43,24.726,,,,
257,7/28/16 0:58,24.291,,,,
258,7/28/16 1:13,23.881,,,,
259,7/28/16 1:28,23.497,,,,
260,7/28/16 1:43,23.136,,,,
261,7/28/16 1:58,22.776,,,,
262,7/28/16 2:13,22.441,,,,
263,7/28/16 2:28,22.13,,,,
264,7/28/16 2:43,21.819,,,,
265,7/28/16 2:58,21.533,,,,
266,7/28/16 3:13,21.199,,,,
267,7/28/16 3:28,20.865,,,,
268,7/28/16 3:43,20.507,,,,
269,7/28/16 3:58,20.15,,,,
270,7/28/16 4:13,19.817,,,,
271,7/28/16 4:28,19.46,,,,
272,7/28/16 4:43,19.103,,,,
273,7/28/16 4:58,18.723,,,,
274,7/28/16 5:13,18.39,,,,
275,7/28/16 5:28,18.057,,,,
276,7/28/16 5:43,17.724,,,,
277,7/28/16 5:58,17.391,,,,
278,7/28/16 6:13,17.058,,,,
279,7/28/16 6:28,16.725,,,,
280,7/28/16 6:43,16.392,,,,
281,7/28/16 6:58,16.106,,,,
282,7/28/16 7:13,15.843,,,,
283,7/28/16 7:28,15.605,,,,
284,7/28/16 7:43,15.414,,,,
285,7/28/16 7:58,15.247,,,,
286,7/28/16 8:13,15.151,,,,
287,7/28/16 8:28,15.103,,,,
288,7/28/16 8:43,15.103,,,,
289,7/28/16 8:58,15.175,,,,
290,7/28/16 9:13,15.247,,,,
291,7/28/16 9:28,15.342,,,,
292,7/28/16 9:43,15.438,,,,
293,7/28/16 9:58,15.533,,,,
294,7/28/16 10:13,15.676,,,,
295,7/28/16 10:28,15.819,,,,
296,7/28/16 10:43,15.986,,,,
297,7/28/16 10:58,16.201,,,,
298,7/28/16 11:13,16.487,,,,
299,7/28/16 11:28,16.82,,,,
300,7/28/16 11:43,17.201,,,,
301,7/28/16 11:58,17.582,,,,
302,7/28/16 12:13,17.986,,,,
303,7/28/16 12:28,18.343,,,,
304,7/28/16 12:43,18.675,,,,
305,7/28/16 12:58,18.985,,,,
306,7/28/16 13:13,19.27,,,,
307,7/28/16 13:28,19.555,,,,
308,7/28/16 13:43,19.817,,,,
309,7/28/16 13:58,20.079,,,,
310,7/28/16 14:13,20.341,,,,
311,7/28/16 14:28,20.674,,,,
312,7/28/16 14:43,21.103,,,,
313,7/28/16 14:58,21.628,,,,
314,7/28/16 15:13,22.298,,,,
315,7/28/16 15:28,23.064,,,,
316,7/28/16 15:43,23.881,,,,
317,7/28/16 15:58,24.774,,,,
318,7/28/16 16:13,25.72,,,,
319,7/28/16 16:28,26.671,,,,
320,7/28/16 16:43,27.628,,,,
321,7/28/16 16:58,28.617,,,,
322,7/28/16 17:13,29.565,,,,
323,7/28/16 17:28,30.495,,,,
324,7/28/16 17:43,31.382,,,,
325,7/28/16 17:58,32.227,,,,
326,7/28/16 18:13,33.001,,,,
327,7/28/16 18:28,33.626,,,,
