Serial Number:20425024 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*F)",Button Down,Button Up,Host Connect,EOF
7/29/18 17:45,52, , , , 
7/29/18 18:00,46.98, , , , 
7/29/18 18:15,45.12, , , , 
7/29/18 18:30,44.74, , , , 
7/29/18 18:45,44.97, , , , 
7/29/18 19:00,45.2, , , , 
7/29/18 19:15,45.51, , , , 
7/29/18 19:30,45.66, , , , 
7/29/18 19:45,46.59, , , , 
7/29/18 20:00,47.05, , , , 
7/29/18 20:15,47.52, , , , 
7/29/18 20:30,48.52, , , , 
7/29/18 20:45,49.29, , , , 
7/29/18 21:00,49.76, , , , 
7/29/18 21:15,50.14, , , , 
7/29/18 21:30,50.45, , , , 
7/29/18 21:45,50.61, , , , 
7/29/18 22:00,50.91, , , , 
7/29/18 22:15,50.99, , , , 
7/29/18 22:30,51.07, , , , 
7/29/18 22:45,50.91, , , , 
7/29/18 23:00,51.07, , , , 
7/29/18 23:15,51.22, , , , 
7/29/18 23:30,51.38, , , , 
7/29/18 23:45,51.61, , , , 
7/30/18 0:00,51.76, , , , 
7/30/18 0:15,51.84, , , , 
7/30/18 0:30,51.84, , , , 
7/30/18 0:45,52, , , , 
7/30/18 1:00,52.07, , , , 
7/30/18 1:15,52.23, , , , 
7/30/18 1:30,52.3, , , , 
7/30/18 1:45,52.38, , , , 
7/30/18 2:00,52.54, , , , 
7/30/18 2:15,52.69, , , , 
7/30/18 2:30,52.92, , , , 
7/30/18 2:45,53, , , , 
7/30/18 3:00,53.08, , , , 
7/30/18 3:15,53.23, , , , 
7/30/18 3:30,53.39, , , , 
7/30/18 3:45,53.39, , , , 
7/30/18 4:00,53.46, , , , 
7/30/18 4:15,53.46, , , , 
7/30/18 4:30,53.46, , , , 
7/30/18 4:45,53.46, , , , 
7/30/18 5:00,53.54, , , , 
7/30/18 5:15,53.39, , , , 
7/30/18 5:30,53.31, , , , 
7/30/18 5:45,53.23, , , , 
7/30/18 6:00,53, , , , 
7/30/18 6:15,52.92, , , , 
7/30/18 6:30,52.77, , , , 
7/30/18 6:45,52.77, , , , 
7/30/18 7:00,52.54, , , , 
7/30/18 7:15,52.38, , , , 
