"ï»¿""Plot Title: 20155861""",,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861)
127,08/11/17 01:59 AM,0.77,,,,,
128,08/11/17 02:59 AM,0.687,,,,,
129,08/11/17 03:59 AM,0.742,,,,,
130,08/11/17 04:59 AM,0.742,,,,,
131,08/11/17 05:59 AM,0.797,,,,,
132,08/11/17 06:59 AM,0.852,,,,,
133,08/11/17 07:59 AM,1.18,,,,,
134,08/11/17 08:59 AM,2.477,,,,,
135,08/11/17 09:59 AM,3.854,,,,,
136,08/11/17 10:59 AM,5.308,,,,,
137,08/11/17 11:59 AM,6.687,,,,,
138,08/11/17 12:59 PM,7.066,,,,,
139,08/11/17 01:59 PM,5.308,,,,,
140,08/11/17 02:59 PM,4.35,,,,,
141,08/11/17 03:59 PM,4.636,,,,,
142,08/11/17 04:59 PM,3.854,,,,,
143,08/11/17 05:59 PM,3.88,,,,,
144,08/11/17 06:59 PM,3.116,,,,,
145,08/11/17 07:59 PM,2.37,,,,,
146,08/11/17 08:59 PM,1.967,,,,,
147,08/11/17 09:59 PM,1.615,,,,,
148,08/11/17 10:59 PM,1.507,,,,,
149,08/11/17 11:59 PM,1.398,,,,,
150,08/12/17 12:59 AM,1.507,,,,,
151,08/12/17 01:59 AM,1.48,,,,,
152,08/12/17 02:59 AM,1.317,,,,,
153,08/12/17 03:59 AM,1.344,,,,,
154,08/12/17 04:59 AM,1.126,,,,,
155,08/12/17 05:59 AM,1.017,,,,,
156,08/12/17 06:59 AM,1.017,,,,,
157,08/12/17 07:59 AM,1.262,,,,,
158,08/12/17 08:59 AM,3.168,,,,,
159,08/12/17 09:59 AM,4.869,,,,,
160,08/12/17 10:59 AM,6.153,,,,,
161,08/12/17 11:59 AM,7.569,,,,,
162,08/12/17 12:59 PM,8.245,,,,,
163,08/12/17 01:59 PM,6.788,,,,,
164,08/12/17 02:59 PM,6.331,,,,,
165,08/12/17 03:59 PM,4.636,,,,,
166,08/12/17 04:59 PM,6.179,,,,,
167,08/12/17 05:59 PM,5.231,,,,,
168,08/12/17 06:59 PM,3.617,,,,,
169,08/12/17 07:59 PM,2.637,,,,,
170,08/12/17 08:59 PM,1.94,,,,,
171,08/12/17 09:59 PM,1.724,,,,,
172,08/12/17 10:59 PM,1.561,,,,,
173,08/12/17 11:59 PM,1.425,,,,,
174,08/13/17 12:59 AM,1.588,,,,,
175,08/13/17 01:59 AM,1.371,,,,,
176,08/13/17 02:59 AM,1.235,,,,,
177,08/13/17 03:59 AM,1.18,,,,,
178,08/13/17 04:59 AM,1.344,,,,,
179,08/13/17 05:59 AM,1.208,,,,,
180,08/13/17 06:59 AM,1.534,,,,,
181,08/13/17 07:59 AM,1.94,,,,,
182,08/13/17 08:59 AM,3.38,,,,,
183,08/13/17 09:59 AM,4.973,,,,,
184,08/13/17 10:59 AM,5.36,,,,,
185,08/13/17 11:59 AM,4.428,,,,,
186,08/13/17 12:59 PM,5.924,,,,,
187,08/13/17 01:59 PM,4.532,,,,,
188,08/13/17 02:59 PM,4.895,,,,,
189,08/13/17 03:59 PM,5.102,,,,,
190,08/13/17 04:59 PM,4.168,,,,,
191,08/13/17 05:59 PM,3.696,,,,,
192,08/13/17 06:59 PM,3.195,,,,,
193,08/13/17 07:59 PM,2.956,,,,,
194,08/13/17 08:59 PM,2.182,,,,,
195,08/13/17 09:59 PM,2.262,,,,,
196,08/13/17 10:59 PM,2.37,,,,,
197,08/13/17 11:59 PM,2.074,,,,,
198,08/14/17 12:59 AM,2.316,,,,,
199,08/14/17 01:59 AM,1.724,,,,,
200,08/14/17 02:59 AM,1.724,,,,,
201,08/14/17 03:59 AM,1.425,,,,,
202,08/14/17 04:59 AM,1.344,,,,,
203,08/14/17 05:59 AM,1.48,,,,,
204,08/14/17 06:59 AM,1.643,,,,,
205,08/14/17 07:59 AM,1.994,,,,,
206,08/14/17 08:59 AM,2.155,,,,,
207,08/14/17 09:59 AM,2.423,,,,,
208,08/14/17 10:59 AM,3.88,,,,,
209,08/14/17 11:59 AM,5.77,,,,,
210,08/14/17 12:59 PM,5.821,,,,,
211,08/14/17 01:59 PM,4.298,,,,,
212,08/14/17 02:59 PM,4.168,,,,,
213,08/14/17 03:59 PM,3.327,,,,,
214,08/14/17 04:59 PM,3.38,,,,,
215,08/14/17 05:59 PM,2.77,,,,,
216,08/14/17 06:59 PM,2.396,,,,,
217,08/14/17 07:59 PM,2.047,,,,,
218,08/14/17 08:59 PM,1.886,,,,,
219,08/14/17 09:59 PM,1.751,,,,,
220,08/14/17 10:59 PM,1.453,,,,,
221,08/14/17 11:59 PM,1.289,,,,,
222,08/15/17 12:59 AM,1.153,,,,,
223,08/15/17 01:59 AM,1.099,,,,,
224,08/15/17 02:59 AM,1.153,,,,,
225,08/15/17 03:59 AM,1.262,,,,,
226,08/15/17 04:59 AM,1.153,,,,,
227,08/15/17 05:59 AM,0.852,,,,,
228,08/15/17 06:59 AM,0.742,,,,,
229,08/15/17 07:59 AM,0.825,,,,,
230,08/15/17 08:59 AM,2.637,,,,,
231,08/15/17 09:59 AM,4.011,,,,,
232,08/15/17 10:59 AM,5.488,,,,,
233,08/15/17 11:59 AM,7.945,,,,,
234,08/15/17 12:59 PM,6.382,,,,,
235,08/15/17 01:59 PM,6.179,,,,,
236,08/15/17 02:59 PM,5.668,,,,,
237,08/15/17 03:59 PM,5.128,,,,,
238,08/15/17 04:59 PM,5.668,,,,,
239,08/15/17 05:59 PM,3.906,,,,,
240,08/15/17 06:59 PM,2.903,,,,,
241,08/15/17 07:59 PM,2.744,,,,,
242,08/15/17 08:59 PM,1.994,,,,,
243,08/15/17 09:59 PM,1.615,,,,,
244,08/15/17 10:59 PM,1.425,,,,,
245,08/15/17 11:59 PM,1.235,,,,,
246,08/16/17 12:59 AM,1.044,,,,,
247,08/16/17 01:59 AM,0.934,,,,,
248,08/16/17 02:59 AM,0.88,,,,,
249,08/16/17 03:59 AM,0.797,,,,,
250,08/16/17 04:59 AM,0.852,,,,,
251,08/16/17 05:59 AM,0.797,,,,,
252,08/16/17 06:59 AM,0.825,,,,,
253,08/16/17 07:59 AM,0.962,,,,,
254,08/16/17 08:59 AM,3.195,,,,,
255,08/16/17 09:59 AM,5.334,,,,,
256,08/16/17 10:59 AM,6.99,,,,,
257,08/16/17 11:59 AM,7.97,,,,,
258,08/16/17 12:59 PM,8.965,,,,,
259,08/16/17 01:59 PM,8.693,,,,,
260,08/16/17 02:59 PM,8.494,,,,,
261,08/16/17 03:59 PM,6.99,,,,,
262,08/16/17 04:59 PM,7.343,,,,,
263,08/16/17 05:59 PM,5.462,,,,,
264,08/16/17 06:59 PM,3.696,,,,,
265,08/16/17 07:59 PM,2.797,,,,,
266,08/16/17 08:59 PM,2.262,,,,,
267,08/16/17 09:59 PM,1.886,,,,,
268,08/16/17 10:59 PM,1.778,,,,,
269,08/16/17 11:59 PM,1.724,,,,,
270,08/17/17 12:59 AM,1.697,,,,,
271,08/17/17 01:59 AM,1.643,,,,,
272,08/17/17 02:59 AM,1.534,,,,,
273,08/17/17 03:59 AM,1.425,,,,,
274,08/17/17 04:59 AM,1.317,,,,,
275,08/17/17 05:59 AM,1.18,,,,,
276,08/17/17 06:59 AM,1.18,,,,,
277,08/17/17 07:59 AM,1.371,,,,,
278,08/17/17 08:59 AM,3.538,,,,,
279,08/17/17 09:59 AM,5.565,,,,,
280,08/17/17 10:59 AM,7.368,,,,,
281,08/17/17 11:59 AM,8.693,,,,,
282,08/17/17 12:59 PM,8.841,,,,,
283,08/17/17 01:59 PM,7.945,,,,,
284,08/17/17 02:59 PM,7.192,,,,,
285,08/17/17 03:59 PM,8.319,,,,,
286,08/17/17 04:59 PM,7.995,,,,,
287,08/17/17 05:59 PM,6.535,,,,,
288,08/17/17 06:59 PM,4.063,,,,,
289,08/17/17 07:59 PM,3.248,,,,,
290,08/17/17 08:59 PM,2.664,,,,,
291,08/17/17 09:59 PM,2.155,,,,,
292,08/17/17 10:59 PM,1.913,,,,,
293,08/17/17 11:59 PM,1.751,,,,,
294,08/18/17 12:59 AM,1.588,,,,,
295,08/18/17 01:59 AM,1.48,,,,,
296,08/18/17 02:59 AM,1.371,,,,,
297,08/18/17 03:59 AM,1.262,,,,,
298,08/18/17 04:59 AM,1.18,,,,,
299,08/18/17 05:59 AM,1.126,,,,,
300,08/18/17 06:59 AM,1.126,,,,,
301,08/18/17 07:59 AM,1.235,,,,,
302,08/18/17 08:59 AM,3.512,,,,,
303,08/18/17 09:59 AM,5.693,,,,,
304,08/18/17 10:59 AM,7.594,,,,,
305,08/18/17 11:59 AM,9.064,,,,,
306,08/18/17 12:59 PM,9.879,,,,,
307,08/18/17 01:59 PM,10.1,,,,,
308,08/18/17 02:59 PM,9.928,,,,,
309,08/18/17 03:59 PM,9.361,,,,,
310,08/18/17 04:59 PM,8.494,,,,,
311,08/18/17 05:59 PM,7.167,,,,,
312,08/18/17 06:59 PM,4.48,,,,,
313,08/18/17 07:59 PM,3.538,,,,,
314,08/18/17 08:59 PM,2.797,,,,,
315,08/18/17 09:59 PM,2.423,,,,,
316,08/18/17 10:59 PM,2.155,,,,,
317,08/18/17 11:59 PM,1.94,,,,,
318,08/19/17 12:59 AM,1.859,,,,,
319,08/19/17 01:59 AM,1.697,,,,,
320,08/19/17 02:59 AM,1.534,,,,,
321,08/19/17 03:59 AM,1.453,,,,,
322,08/19/17 04:59 AM,1.398,,,,,
323,08/19/17 05:59 AM,1.317,,,,,
324,08/19/17 06:59 AM,1.289,,,,,
325,08/19/17 07:59 AM,1.317,,,,,
326,08/19/17 08:59 AM,3.538,,,,,
327,08/19/17 09:59 AM,5.668,,,,,
328,08/19/17 10:59 AM,7.544,,,,,
329,08/19/17 11:59 AM,9.163,,,,,
330,08/19/17 12:59 PM,10.1,,,,,
331,08/19/17 01:59 PM,10.222,,,,,
332,08/19/17 02:59 PM,10.173,,,,,
333,08/19/17 03:59 PM,9.509,,,,,
334,08/19/17 04:59 PM,8.295,,,,,
335,08/19/17 05:59 PM,6.535,,,,,
336,08/19/17 06:59 PM,4.636,,,,,
337,08/19/17 07:59 PM,3.643,,,,,
338,08/19/17 08:59 PM,3.063,,,,,
339,08/19/17 09:59 PM,2.637,,,,,
340,08/19/17 10:59 PM,2.396,,,,,
341,08/19/17 11:59 PM,2.289,,,,,
342,08/20/17 12:59 AM,2.155,,,,,
343,08/20/17 01:59 AM,2.128,,,,,
344,08/20/17 02:59 AM,2.047,,,,,
345,08/20/17 03:59 AM,1.994,,,,,
346,08/20/17 04:59 AM,1.886,,,,,
347,08/20/17 05:59 AM,1.859,,,,,
348,08/20/17 06:59 AM,1.805,,,,,
349,08/20/17 07:59 AM,2.074,,,,,
350,08/20/17 08:59 AM,3.88,,,,,
351,08/20/17 09:59 AM,5.77,,,,,
352,08/20/17 10:59 AM,7.519,,,,,
353,08/20/17 11:59 AM,9.163,,,,,
