Plot Title: 10972590,,,,,,,
#,"Date Time, GMT-06:00","Temp, ∞C (LGR S/N: 10972590, SEN S/N: 10972590)",Coupler Detached (LGR S/N: 10972590),Coupler Attached (LGR S/N: 10972590),Host Connected (LGR S/N: 10972590),Stopped (LGR S/N: 10972590),End Of File (LGR S/N: 10972590)
109,08/06/18/ 07:24:00 PM,1.588,,,,,
110,08/06/18/ 08:24:00 PM,1.561,,,,,
111,08/06/18/ 09:24:00 PM,1.561,,,,,
112,08/06/18/ 10:24:00 PM,1.534,,,,,
113,08/06/18/ 11:24:00 PM,1.48,,,,,
114,08/07/18/ 12:24:00 AM,1.453,,,,,
115,08/07/18/ 01:24:00 AM,1.425,,,,,
116,08/07/18/ 02:24:00 AM,1.398,,,,,
117,08/07/18/ 03:24:00 AM,1.398,,,,,
118,08/07/18/ 04:24:00 AM,1.398,,,,,
119,08/07/18/ 05:24:00 AM,1.398,,,,,
120,08/07/18/ 06:24:00 AM,1.371,,,,,
121,08/07/18/ 07:24:00 AM,1.425,,,,,
122,08/07/18/ 08:24:00 AM,1.534,,,,,
123,08/07/18/ 09:24:00 AM,1.778,,,,,
124,08/07/18/ 10:24:00 AM,2.128,,,,,
125,08/07/18/ 11:24:00 AM,2.423,,,,,
126,08/07/18/ 12:24:00 PM,2.53,,,,,
127,08/07/18/ 01:24:00 PM,2.477,,,,,
128,08/07/18/ 02:24:00 PM,2.503,,,,,
129,08/07/18/ 03:24:00 PM,2.316,,,,,
130,08/07/18/ 04:24:00 PM,2.021,,,,,
131,08/07/18/ 05:24:00 PM,1.832,,,,,
132,08/07/18/ 06:24:00 PM,1.643,,,,,
133,08/07/18/ 07:24:00 PM,1.615,,,,,
134,08/07/18/ 08:24:00 PM,1.561,,,,,
135,08/07/18/ 09:24:00 PM,1.507,,,,,
136,08/07/18/ 10:24:00 PM,1.507,,,,,
137,08/07/18/ 11:24:00 PM,1.48,,,,,
138,08/08/18/ 12:24:00 AM,1.48,,,,,
139,08/08/18/ 01:24:00 AM,1.453,,,,,
140,08/08/18/ 02:24:00 AM,1.453,,,,,
141,08/08/18/ 03:24:00 AM,1.453,,,,,
142,08/08/18/ 04:24:00 AM,1.453,,,,,
143,08/08/18/ 05:24:00 AM,1.453,,,,,
144,08/08/18/ 06:24:00 AM,1.453,,,,,
145,08/08/18/ 07:24:00 AM,1.48,,,,,
146,08/08/18/ 08:24:00 AM,1.561,,,,,
