Date,Grand Targhee (1082) Air Temperature Observed (degF) Start of Day Values,Phillips Bench (689) Air Temperature Observed (degF) Start of Day Values
2020-12-17,16.3,17.1
2020-12-18,16.0,20.8
2020-12-19,13.3,17.6
2020-12-20,16.2,21.6
2020-12-21,25.0,30.0
2020-12-22,27.3,30.7
2020-12-23,2.7,9.3
2020-12-24,3.2,6.4
2020-12-25,19.8,10.8
2020-12-26,20.5,21.0
2020-12-27,16.2,20.7
2020-12-28,6.4,5.4
2020-12-29,13.1,3.6
2020-12-30,8.6,5.7
2020-12-31,12.4,14.4
2021-01-01,11.3,12.2
2021-01-02,16.2,
2021-01-03,15.4,20.1
2021-01-04,15.4,20.5
2021-01-05,25.2,25.3
2021-01-06,9.5,9.5
2021-01-07,20.8,19.2
2021-01-08,13.5,16.7
2021-01-09,8.8,6.3
2021-01-10,12.4,6.4
2021-01-11,19.4,4.5
2021-01-12,19.8,16.0
2021-01-13,21.2,25.9
2021-01-14,6.4,12.0
2021-01-15,10.9,15.4
2021-01-16,16.0,22.6
2021-01-17,16.5,16.0
2021-01-18,12.6,18.9
2021-01-19,9.0,9.3
2021-01-20,11.5,10.6
2021-01-21,15.4,19.6
2021-01-22,17.1,22.5
2021-01-23,16.7,22.1
2021-01-24,6.3,9.3
2021-01-25,3.7,8.1
2021-01-26,8.1,5.0
2021-01-27,7.7,9.3
2021-01-28,16.3,14.7
2021-01-29,27.5,21.2
2021-01-30,20.1,23.0
2021-01-31,11.8,14.4
2021-02-01,20.8,13.5
2021-02-02,28.2,24.3
2021-02-03,26.4,30.0
2021-02-04,10.6,15.1
2021-02-05,9.1,14.4
2021-02-06,11.1,16.9
2021-02-07,13.5,19.2
2021-02-08,7.7,12.7
2021-02-09,6.8,13.6
2021-02-10,12.6,18.3
2021-02-11,12.2,18.3
2021-02-12,18.3,23.0
2021-02-13,11.3,17.1
2021-02-14,10.6,7.2
2021-02-15,5.5,7.2
2021-02-16,12.7,17.6
2021-02-17,9.9,14.2
2021-02-18,5.5,9.7
2021-02-19,5.0,9.1
2021-02-20,16.0,18.3
2021-02-21,8.4,13.5
2021-02-22,14.0,18.0
2021-02-23,19.9,24.3
2021-02-24,3.7,10.2
2021-02-25,-2.0,0.3
2021-02-26,7.7,12.7
2021-02-27,4.6,8.8
2021-02-28,5.0,9.3
2021-03-01,9.0,12.0
2021-03-02,19.2,17.2
2021-03-03,21.7,16.9
2021-03-04,28.4,20.3
2021-03-05,18.7,20.7
2021-03-06,30.0,23.2
2021-03-07,19.0,23.5
2021-03-08,28.4,24.3
2021-03-09,18.9,24.6
2021-03-10,12.2,19.2
2021-03-11,7.9,7.7
2021-03-12,10.0,10.4
2021-03-13,20.8,20.5
2021-03-14,26.4,28.8
2021-03-15,23.4,27.5
2021-03-16,26.6,28.4
2021-03-17,20.1,22.3
2021-03-18,24.3,24.3
2021-03-19,29.5,26.4
2021-03-20,27.1,29.7
2021-03-21,16.0,21.2
2021-03-22,13.5,18.3
2021-03-23,10.2,15.6
2021-03-24,10.9,11.8
2021-03-25,14.0,17.2
2021-03-26,15.6,20.5
2021-03-27,15.1,20.8
2021-03-28,23.7,27.5
2021-03-29,34.3,36.9
2021-03-30,2.8,9.1
2021-03-31,9.1,13.1
2021-04-01,20.1,18.7
2021-04-02,33.3,30.6
2021-04-03,35.8,34.3
2021-04-04,39.4,39.6
2021-04-05,40.1,38.8
2021-04-06,20.8,27.5
2021-04-07,21.9,27.7
2021-04-08,29.7,27.0
2021-04-09,12.2,16.7
2021-04-10,24.8,24.4
2021-04-11,14.5,22.5
2021-04-12,10.0,14.9
2021-04-13,14.0,19.4
2021-04-14,19.2,18.3
2021-04-15,17.1,19.2
2021-04-16,15.4,19.9
2021-04-17,17.1,21.0
2021-04-18,24.6,27.3
2021-04-19,30.6,35.8
2021-04-20,6.6,9.3
2021-04-21,17.8,17.1
2021-04-22,20.5,23.7
2021-04-23,26.8,29.3
2021-04-24,27.9,28.4
2021-04-25,28.0,30.4
2021-04-26,22.5,28.8
2021-04-27,23.9,27.5
2021-04-28,26.4,29.3
2021-04-29,33.4,34.3
2021-04-30,42.1,40.1
2021-05-01,48.0,49.3
2021-05-02,34.0,36.7
2021-05-03,27.9,30.7
2021-05-04,29.7,30.7
2021-05-05,24.6,27.7
2021-05-06,36.7,32.7
2021-05-07,46.8,42.3
2021-05-08,27.9,32.0
2021-05-09,14.9,17.8
2021-05-10,23.9,23.7
2021-05-11,24.1,27.5
2021-05-12,26.4,27.9
2021-05-13,38.7,35.2
2021-05-14,37.9,38.5
2021-05-15,38.7,37.2
2021-05-16,37.9,36.9
2021-05-17,37.2,37.4
2021-05-18,43.7,42.4
2021-05-19,40.8,45.0
2021-05-20,41.4,40.1
2021-05-21,38.7,36.9
2021-05-22,34.5,32.0
2021-05-23,34.2,35.2
2021-05-24,26.6,30.4
2021-05-25,31.3,34.9
2021-05-26,31.6,35.2
2021-05-27,31.5,32.4
2021-05-28,41.9,40.6
2021-05-29,32.9,39.2
2021-05-30,36.7,36.1
2021-05-31,41.4,39.6
2021-06-01,46.2,45.3
2021-06-02,47.7,48.0
2021-06-03,51.4,50.4
2021-06-04,55.6,53.2
2021-06-05,52.2,60.1
2021-06-06,49.8,54.0
2021-06-07,49.6,48.2
2021-06-08,57.7,55.4
2021-06-09,51.8,47.3
2021-06-10,54.1,50.9
2021-06-11,27.5,31.5
2021-06-12,43.0,40.1
2021-06-13,52.2,48.4
2021-06-14,58.8,55.8
2021-06-15,63.9,55.8
2021-06-16,56.1,57.0
2021-06-17,55.8,59.0
2021-06-18,54.9,51.8
2021-06-19,57.9,56.7
2021-06-20,50.4,56.7
2021-06-21,44.6,42.1
2021-06-22,53.8,52.5
2021-06-23,61.2,55.0
2021-06-24,51.4,47.8
2021-06-25,45.5,45.9
2021-06-26,47.8,46.8
2021-06-27,48.0,50.0
2021-06-28,52.5,51.4
2021-06-29,55.9,50.9
2021-06-30,55.9,53.2
2021-07-01,54.7,53.2
2021-07-02,52.0,50.2
2021-07-03,56.7,53.6
2021-07-04,59.0,55.9
2021-07-05,58.8,57.9
2021-07-06,53.8,48.6
2021-07-07,57.7,55.4
2021-07-08,60.1,60.6
2021-07-09,60.4,57.6
2021-07-10,53.6,54.9
2021-07-11,56.1,53.8
2021-07-12,62.1,58.8
2021-07-13,63.5,57.4
2021-07-14,55.6,53.8
2021-07-15,59.4,53.4
2021-07-16,59.0,52.0
2021-07-17,58.8,57.0
2021-07-18,59.0,58.8
2021-07-19,65.7,61.2
2021-07-20,59.7,59.0
2021-07-21,55.0,52.2
2021-07-22,58.8,
2021-07-23,56.7,
2021-07-24,57.6,54.1
2021-07-25,57.6,56.7
2021-07-26,61.5,57.0
2021-07-27,62.2,59.9
2021-07-28,62.8,64.2
2021-07-29,56.8,53.1
2021-07-30,56.7,49.6
2021-07-31,57.2,54.1
2021-08-01,56.7,54.1
2021-08-02,51.3,55.4
2021-08-03,46.8,48.9
2021-08-04,51.6,52.5
2021-08-05,59.7,54.9
2021-08-06,57.0,52.5
2021-08-07,39.2,41.2
2021-08-08,53.8,51.1
2021-08-09,51.3,55.9
2021-08-10,47.8,44.2
2021-08-11,50.9,55.6
2021-08-12,57.2,56.1
2021-08-13,59.4,59.0
2021-08-14,63.0,57.6
2021-08-15,59.4,60.8
2021-08-16,57.2,58.3
2021-08-17,61.0,61.9
2021-08-18,51.8,51.3
2021-08-19,43.0,45.3
2021-08-20,33.8,38.3
2021-08-21,39.9,38.5
2021-08-22,34.9,39.2
2021-08-23,49.6,44.2
2021-08-24,52.0,50.7
2021-08-25,53.8,50.0
2021-08-26,53.6,49.8
2021-08-27,45.9,48.6
2021-08-28,44.4,42.4
2021-08-29,44.8,41.2
2021-08-30,50.4,48.6
2021-08-31,52.9,51.4
2021-09-01,52.0,50.4
2021-09-02,47.3,46.2
2021-09-03,49.6,43.7
2021-09-04,42.4,41.2
2021-09-05,50.7,46.2
2021-09-06,53.8,52.9
2021-09-07,51.8,52.9
2021-09-08,52.2,51.1
2021-09-09,59.4,55.4
2021-09-10,63.0,55.8
2021-09-11,45.0,48.9
2021-09-12,44.4,44.2
2021-09-13,47.8,46.8
2021-09-14,45.5,43.7
2021-09-15,44.6,43.7
2021-09-16,50.4,53.4
2021-09-17,40.8,40.1
2021-09-18,50.0,48.6
2021-09-19,45.9,45.3
2021-09-20,27.1,30.4
2021-09-21,25.9,28.8
2021-09-22,36.1,34.7
2021-09-23,43.2,45.3
2021-09-24,41.2,40.1
2021-09-25,47.3,42.6
2021-09-26,48.6,46.0
2021-09-27,49.1,50.0
2021-09-28,50.7,47.8
2021-09-29,27.1,30.4
2021-09-30,28.2,30.6
2021-10-01,37.2,35.6
2021-10-02,38.8,37.8
2021-10-03,38.1,38.8
2021-10-04,42.6,39.9
2021-10-05,45.5,44.1
2021-10-06,44.4,49.5
2021-10-07,38.8,37.8
2021-10-08,32.5,36.5
2021-10-09,30.6,32.2
2021-10-10,29.7,32.9
2021-10-11,29.8,33.1
2021-10-12,26.6,26.8
2021-10-13,17.2,23.0
2021-10-14,17.8,22.5
2021-10-15,16.2,21.7
2021-10-16,21.7,22.3
2021-10-17,40.3,31.6
2021-10-18,38.1,33.8
2021-10-19,33.8,36.7
2021-10-20,30.9,34.2
2021-10-21,31.6,30.9
2021-10-22,36.7,34.5
2021-10-23,31.3,36.7
2021-10-24,24.6,30.4
2021-10-25,38.8,34.0
2021-10-26,25.9,30.0
2021-10-27,22.1,27.0
2021-10-28,24.8,30.7
2021-10-29,32.0,32.0
2021-10-30,36.1,39.4
2021-10-31,31.8,32.0
2021-11-01,32.0,32.2
2021-11-02,29.7,32.0
2021-11-03,27.9,32.0
2021-11-04,34.0,30.4
2021-11-05,28.4,33.4
2021-11-06,36.9,34.7
2021-11-07,26.2,30.6
2021-11-08,15.6,19.4
2021-11-09,24.3,21.6
2021-11-10,22.6,26.6
2021-11-11,11.5,18.7
2021-11-12,24.1,29.7
2021-11-13,31.3,35.8
2021-11-14,30.0,36.0
2021-11-15,30.7,39.4
2021-11-16,34.3,40.6
2021-11-17,7.3,13.6
2021-11-18,13.5,9.1
2021-11-19,21.7,26.6
2021-11-20,23.7,27.3
2021-11-21,14.0,17.6
2021-11-22,16.0,19.0
2021-11-23,31.8,26.4
2021-11-24,14.9,19.6
2021-11-25,9.3,11.3
2021-11-26,24.1,19.8
2021-11-27,22.3,28.8
2021-11-28,26.8,32.5
2021-11-29,32.5,34.0
2021-11-30,20.8,27.9
2021-12-01,30.7,28.4
2021-12-02,33.1,32.2
2021-12-03,29.7,32.7
2021-12-04,26.8,28.4
2021-12-05,27.9,34.2
2021-12-06,13.6,21.2
2021-12-07,19.2,24.3
2021-12-08,19.9,24.8
2021-12-09,16.7,21.6
2021-12-10,3.9,8.6
2021-12-11,5.2,10.8
2021-12-12,13.8,17.4
2021-12-13,21.9,22.5
2021-12-14,24.1,23.2
2021-12-15,14.9,19.2
2021-12-16,4.6,7.0
2021-12-17,9.0,14.2
2021-12-18,5.0,8.4
2021-12-19,14.0,15.3
2021-12-20,22.3,21.9
2021-12-21,21.4,25.0
2021-12-22,23.9,29.1
2021-12-23,21.7,27.0
2021-12-24,19.0,23.4
2021-12-25,11.7,16.5
2021-12-26,16.0,19.8
2021-12-27,3.6,7.0
2021-12-28,-2.6,2.5
2021-12-29,-3.8,1.6
2021-12-30,5.2,10.9
2021-12-31,6.3,11.5
2022-01-01,-6.3,-2.6
2022-01-02,-1.3,0.7
2022-01-03,10.2,11.5
2022-01-04,14.4,18.3
2022-01-05,11.3,16.7
2022-01-06,9.5,16.0
2022-01-07,23.9,27.7
2022-01-08,17.4,23.0
2022-01-09,1.9,5.7
2022-01-10,18.3,8.1
2022-01-11,16.0,15.4
2022-01-12,18.9,20.8
2022-01-13,27.3,21.2
2022-01-14,21.2,20.5
2022-01-15,15.6,14.0
2022-01-16,18.7,18.3
2022-01-17,20.8,21.2
2022-01-18,20.5,22.5
2022-01-19,15.3,17.8
2022-01-20,11.8,13.5
2022-01-21,15.3,19.0
2022-01-22,8.4,8.2
2022-01-23,18.7,12.4
2022-01-24,18.7,23.7
2022-01-25,11.8,13.3
2022-01-26,5.2,10.0
2022-01-27,5.2,6.8
2022-01-28,7.5,6.8
2022-01-29,23.0,14.7
2022-01-30,23.2,17.8
2022-01-31,15.6,17.1
2022-02-01,3.6,3.6
2022-02-02,-2.9,-1.1
2022-02-03,-6.7,-5.4
2022-02-04,8.4,9.7
2022-02-05,11.8,17.1
2022-02-06,12.2,16.9
2022-02-07,16.3,15.6
2022-02-08,14.0,23.7
2022-02-09,22.1,25.3
2022-02-10,23.0,29.3
2022-02-11,19.4,30.4
2022-02-12,10.9,8.4
2022-02-13,19.6,19.0
2022-02-14,21.2,20.8
2022-02-15,25.9,27.0
2022-02-16,12.9,17.6
2022-02-17,8.2,10.0
2022-02-18,13.8,18.3
2022-02-19,17.4,18.7
2022-02-20,22.5,29.1
2022-02-21,14.0,18.9
2022-02-22,3.6,0.3
2022-02-23,1.2,-7.6
2022-02-24,-4.7,-4.0
2022-02-25,-3.6,-0.2
2022-02-26,-4.0,-6.7
2022-02-27,16.3,1.9
2022-02-28,18.3,24.3
2022-03-01,26.8,32.9
2022-03-02,30.7,36.5
2022-03-03,32.9,32.7
2022-03-04,30.9,30.9
2022-03-05,24.1,27.7
2022-03-06,14.0,16.3
2022-03-07,1.9,2.7
2022-03-08,8.6,13.8
2022-03-09,6.4,11.8
2022-03-10,-11.0,-8.9
2022-03-11,-0.9,2.1
2022-03-12,13.5,18.7
2022-03-13,23.9,21.2
2022-03-14,16.9,17.2
2022-03-15,21.4,18.0
2022-03-16,23.0,26.8
2022-03-17,10.2,12.0
2022-03-18,16.0,14.9
2022-03-19,20.3,22.5
2022-03-20,25.9,28.2
2022-03-21,5.0,10.0
2022-03-22,15.3,19.0
2022-03-23,23.0,25.3
2022-03-24,31.5,31.8
2022-03-25,31.5,33.1
2022-03-26,39.0,43.5
2022-03-27,36.7,34.5
2022-03-28,42.8,37.8
2022-03-29,28.8,32.5
2022-03-30,16.7,19.0
2022-03-31,25.2,26.2
2022-04-01,17.1,22.3
2022-04-02,21.6,23.9
2022-04-03,17.8,24.8
2022-04-04,26.6,27.5
2022-04-05,19.2,26.2
2022-04-06,7.2,14.7
2022-04-07,16.0,21.7
2022-04-08,25.5,30.4
2022-04-09,37.8,41.4
2022-04-10,11.1,16.2
2022-04-11,13.3,18.3
2022-04-12,7.9,12.6
2022-04-13,0.3,3.9
2022-04-14,9.7,14.0
2022-04-15,18.0,22.3
2022-04-16,16.7,17.6
2022-04-17,16.2,21.7
2022-04-18,20.1,25.2
2022-04-19,38.3,32.0
2022-04-20,16.9,20.8
2022-04-21,29.5,25.3
2022-04-22,28.8,32.4
2022-04-23,19.6,24.8
2022-04-24,15.8,22.6
2022-04-25,20.3,20.8
2022-04-26,29.5,27.7
2022-04-27,29.5,34.0
2022-04-28,26.2,28.0
2022-04-29,23.0,26.2
2022-04-30,21.7,24.1
2022-05-01,30.9,31.5
2022-05-02,29.8,31.8
2022-05-03,25.2,29.1
2022-05-04,24.1,25.0
2022-05-05,33.3,32.9
2022-05-06,36.7,41.2
2022-05-07,40.6,40.8
2022-05-08,21.7,28.2
2022-05-09,15.4,19.4
2022-05-10,10.4,12.4
2022-05-11,21.6,23.9
2022-05-12,28.8,34.0
2022-05-13,25.7,31.5
2022-05-14,30.7,36.7
2022-05-15,32.0,34.3
2022-05-16,46.8,42.3
2022-05-17,39.9,41.4
2022-05-18,37.2,39.2
2022-05-19,39.4,43.9
2022-05-20,18.3,22.1
2022-05-21,22.1,23.7
2022-05-22,28.4,28.0
2022-05-23,24.3,25.5
2022-05-24,26.4,29.7
2022-05-25,32.4,30.4
2022-05-26,41.2,43.9
2022-05-27,48.6,43.0
2022-05-28,38.3,39.2
2022-05-29,32.0,33.3
2022-05-30,24.6,28.8
2022-05-31,28.0,31.8
2022-06-01,29.8,32.7
2022-06-02,37.0,34.7
2022-06-03,45.3,40.6
2022-06-04,42.6,43.5
2022-06-05,36.5,40.3
2022-06-06,38.5,40.1
2022-06-07,34.9,36.9
2022-06-08,37.0,35.2
2022-06-09,44.6,47.7
2022-06-10,47.5,47.7
2022-06-11,50.9,55.6
2022-06-12,50.4,51.8
2022-06-13,37.0,40.1
2022-06-14,23.2,28.0
2022-06-15,23.9,29.1
2022-06-16,39.0,36.3
2022-06-17,60.4,52.5
2022-06-18,57.4,53.4
2022-06-19,44.6,43.2
2022-06-20,30.6,33.4
2022-06-21,33.4,31.8
2022-06-22,40.1,39.2
2022-06-23,51.1,48.4
2022-06-24,48.0,51.8
2022-06-25,37.8,39.6
2022-06-26,41.9,40.6
2022-06-27,48.2,46.8
2022-06-28,52.9,51.4
2022-06-29,56.1,53.2
2022-06-30,46.8,50.9
2022-07-01,52.5,50.9
2022-07-02,53.8,48.9
2022-07-03,57.0,51.8
2022-07-04,52.2,54.3
2022-07-05,53.1,50.7
2022-07-06,55.2,51.3
2022-07-07,57.0,53.4
2022-07-08,57.6,54.3
2022-07-09,60.1,56.5
2022-07-10,55.9,58.5
2022-07-11,51.1,52.0
2022-07-12,52.2,52.7
2022-07-13,61.5,56.7
2022-07-14,59.2,53.2
2022-07-15,60.8,54.1
2022-07-16,56.7,53.4
2022-07-17,62.8,55.8
2022-07-18,61.2,63.0
2022-07-19,50.0,55.2
2022-07-20,55.6,55.9
2022-07-21,59.5,56.8
2022-07-22,59.9,56.7
2022-07-23,56.1,60.6
2022-07-24,58.6,54.3
2022-07-25,54.3,55.2
2022-07-26,57.7,52.5
2022-07-27,57.6,57.0
2022-07-28,61.2,58.5
2022-07-29,56.7,54.3
2022-07-30,58.5,53.8
2022-07-31,59.0,57.2
2022-08-01,60.1,59.9
2022-08-02,59.2,63.9
2022-08-03,51.3,47.7
2022-08-04,55.9,53.4
2022-08-05,57.7,56.7
2022-08-06,48.2,52.5
2022-08-07,47.8,45.9
2022-08-08,48.2,47.5
2022-08-09,53.6,52.0
2022-08-10,63.5,57.2
2022-08-11,51.4,59.4
2022-08-12,56.8,56.7
2022-08-13,55.4,53.4
2022-08-14,49.6,47.7
2022-08-15,52.9,50.7
2022-08-16,56.7,53.6
2022-08-17,60.4,54.1
2022-08-18,61.9,57.2
2022-08-19,57.4,55.6
2022-08-20,50.2,50.0
2022-08-21,51.8,51.1
2022-08-22,50.9,50.0
2022-08-23,52.9,51.1
2022-08-24,56.1,49.6
2022-08-25,52.9,47.3
2022-08-26,56.8,51.3
2022-08-27,54.0,48.2
2022-08-28,49.1,54.1
2022-08-29,47.8,47.5
2022-08-30,52.5,50.2
2022-08-31,59.7,55.8
2022-09-01,63.5,57.6
2022-09-02,54.9,55.4
2022-09-03,60.8,55.4
2022-09-04,63.5,61.5
2022-09-05,60.8,59.9
2022-09-06,63.3,57.9
2022-09-07,63.3,59.2
2022-09-08,60.1,63.5
2022-09-09,42.3,43.9
2022-09-10,37.0,34.0
2022-09-11,46.2,42.6
2022-09-12,50.4,47.3
2022-09-13,55.9,49.5
2022-09-14,43.2,47.7
2022-09-15,42.8,42.3
2022-09-16,39.2,39.9
2022-09-17,37.9,39.2
2022-09-18,38.8,38.7
2022-09-19,50.2,45.9
2022-09-20,48.2,46.2
2022-09-21,52.5,48.6
2022-09-22,36.1,40.8
2022-09-23,32.2,38.1
2022-09-24,38.1,41.4
2022-09-25,44.6,42.6
2022-09-26,45.9,44.4
2022-09-27,49.3,47.3
2022-09-28,49.1,46.4
2022-09-29,49.1,47.7
2022-09-30,40.6,38.5
2022-10-01,32.2,34.0
2022-10-02,31.5,31.6
2022-10-03,36.0,38.7
2022-10-04,36.7,35.8
2022-10-05,42.3,39.2
2022-10-06,42.1,40.6
2022-10-07,42.1,40.6
2022-10-08,41.7,38.1
2022-10-09,43.7,40.1
2022-10-10,39.4,40.6
2022-10-11,39.4,44.1
2022-10-12,36.5,42.6
2022-10-13,37.2,42.3
2022-10-14,38.5,40.8
2022-10-15,39.2,39.6
2022-10-16,37.2,34.5
2022-10-17,39.6,37.4
2022-10-18,42.6,40.6
2022-10-19,46.2,40.6
2022-10-20,41.0,41.4
2022-10-21,38.5,42.8
2022-10-22,32.0,42.3
2022-10-23,19.2,24.1
2022-10-24,14.2,19.6
2022-10-25,19.2,25.2
2022-10-26,14.9,15.3
2022-10-27,10.2,14.7
2022-10-28,11.7,11.8
2022-10-29,21.2,21.9
2022-10-30,22.5,24.6
2022-10-31,26.8,30.4
2022-11-01,34.0,30.0
2022-11-02,34.3,36.0
2022-11-03,8.4,16.0
2022-11-04,10.4,15.1
2022-11-05,20.3,25.2
2022-11-06,8.8,16.0
2022-11-07,21.4,21.7
2022-11-08,28.4,26.2
2022-11-09,27.1,27.3
2022-11-10,10.6,15.6
2022-11-11,6.3,7.9
2022-11-12,10.8,4.6
2022-11-13,10.0,9.9
2022-11-14,7.7,8.6
2022-11-15,8.6,12.9
2022-11-16,12.7,12.6
2022-11-17,9.0,13.3
2022-11-18,-2.6,-3.5
2022-11-19,7.5,2.1
2022-11-20,14.0,5.7
2022-11-21,15.4,8.8
2022-11-22,17.2,14.7
2022-11-23,21.6,24.4
2022-11-24,10.6,12.2
2022-11-25,28.0,18.3
2022-11-26,23.5,28.2
2022-11-27,13.8,17.8
2022-11-28,16.2,20.8
2022-11-29,0.3,7.2
2022-11-30,3.2,5.2
2022-12-01,17.6,17.8
2022-12-02,13.8,19.0
2022-12-03,0.3,-1.7
2022-12-04,14.0,12.0
2022-12-05,18.9,23.2
2022-12-06,11.5,16.5
2022-12-07,11.1,15.4
2022-12-08,8.4,5.0
2022-12-09,10.2,8.1
2022-12-10,4.6,5.9
2022-12-11,19.6,19.0
2022-12-12,21.0,22.3
2022-12-13,11.8,18.0
2022-12-14,9.5,14.2
2022-12-15,5.0,8.6
2022-12-16,2.5,6.4
2022-12-17,-0.2,5.0
2022-12-18,6.3,5.9
2022-12-19,7.9,12.7
2022-12-20,10.4,16.0
2022-12-21,13.3,18.0
2022-12-22,-14.8,-12.8
2022-12-23,-1.8,-4.4
2022-12-24,18.3,21.4
2022-12-25,23.4,27.5
2022-12-26,24.4,28.8
2022-12-27,26.6,26.8
2022-12-28,18.9,23.5
2022-12-29,9.9,13.8
2022-12-30,10.2,11.1
2022-12-31,17.8,20.7
2023-01-01,15.8,19.8
2023-01-02,16.3,18.9
2023-01-03,13.3,16.0
2023-01-04,7.3,12.6
2023-01-05,12.4,14.7
2023-01-06,22.5,21.7
2023-01-07,19.0,21.9
2023-01-08,19.0,17.1
2023-01-09,16.3,19.8
2023-01-10,23.2,24.1
2023-01-11,23.0,23.9
2023-01-12,14.7,16.0
2023-01-13,23.7,23.7
2023-01-14,25.0,27.5
2023-01-15,21.4,25.0
2023-01-16,16.3,20.3
2023-01-17,13.6,14.9
2023-01-18,8.4,7.5
2023-01-19,7.2,7.7
2023-01-20,13.5,10.8
2023-01-21,7.9,4.1
2023-01-22,11.7,4.1
2023-01-23,13.5,9.3
2023-01-24,5.0,5.7
2023-01-25,3.6,1.9
2023-01-26,10.6,13.8
2023-01-27,14.0,19.6
2023-01-28,14.0,18.7
2023-01-29,0.3,1.8
2023-01-30,-13.7,-13.2
2023-01-31,-9.8,-10.5
2023-02-01,2.7,4.1
2023-02-02,11.1,11.7
2023-02-03,21.7,13.3
2023-02-04,18.3,19.0
2023-02-05,20.5,17.8
2023-02-06,14.7,19.2
2023-02-07,14.9,19.2
2023-02-08,14.7,19.9
2023-02-09,3.6,4.6
2023-02-10,8.6,4.3
2023-02-11,23.2,18.3
2023-02-12,17.2,19.2
2023-02-13,22.5,18.3
2023-02-14,11.1,15.6
2023-02-15,0.7,2.7
2023-02-16,-0.6,4.3
2023-02-17,12.7,5.5
2023-02-18,10.2,11.5
2023-02-19,9.0,14.7
2023-02-20,15.3,20.3
2023-02-21,21.9,26.2
2023-02-22,11.3,15.1
2023-02-23,-0.9,-4.7
2023-02-24,3.4,2.3
2023-02-25,10.6,12.7
2023-02-26,21.6,16.7
2023-02-27,14.0,18.7
2023-02-28,11.8,14.2
2023-03-01,5.4,9.7
2023-03-02,6.1,7.5
2023-03-03,7.3,13.5
2023-03-04,3.7,4.6
2023-03-05,9.7,12.6
2023-03-06,9.0,11.3
2023-03-07,4.5,4.5
2023-03-08,3.7,0.3
2023-03-09,5.5,5.4
2023-03-10,16.2,14.0
2023-03-11,11.3,16.0
2023-03-12,6.8,8.2
2023-03-13,19.6,21.4
2023-03-14,22.5,25.7
2023-03-15,27.5,29.8
2023-03-16,5.2,8.4
2023-03-17,4.1,3.7
2023-03-18,7.3,6.4
2023-03-19,14.5,7.7
2023-03-20,20.3,20.5
2023-03-21,12.6,14.7
2023-03-22,14.0,12.4
2023-03-23,15.4,20.3
2023-03-24,16.7,19.4
2023-03-25,6.4,11.5
2023-03-26,3.9,7.7
2023-03-27,1.9,5.7
2023-03-28,2.8,2.8
2023-03-29,25.2,17.2
2023-03-30,22.6,24.8
2023-03-31,14.4,17.2
2023-04-01,17.2,21.4
2023-04-02,13.8,18.7
2023-04-03,9.1,12.7
2023-04-04,10.0,15.8
2023-04-05,7.2,7.2
2023-04-06,9.1,14.2
2023-04-07,19.0,12.0
2023-04-08,23.5,27.3
2023-04-09,25.9,25.5
2023-04-10,32.4,29.8
2023-04-11,42.3,33.3
2023-04-12,38.1,38.8
2023-04-13,27.0,32.0
2023-04-14,6.4,12.2
2023-04-15,8.6,11.8
2023-04-16,20.7,18.3
2023-04-17,35.2,34.9
2023-04-18,23.4,28.2
2023-04-19,8.6,13.3
2023-04-20,6.4,16.0
2023-04-21,13.8,17.6
2023-04-22,12.2,13.6
2023-04-23,14.7,15.6
2023-04-24,23.2,24.3
2023-04-25,20.7,26.2
2023-04-26,28.8,30.4
2023-04-27,30.6,36.3
2023-04-28,21.7,21.9
2023-04-29,36.7,33.4
2023-04-30,41.9,36.7
2023-05-01,43.2,38.8
2023-05-02,47.7,42.1
2023-05-03,39.0,37.9
2023-05-04,45.3,40.3
2023-05-05,32.4,32.2
2023-05-06,27.1,27.7
2023-05-07,27.3,31.5
2023-05-08,25.9,27.9
2023-05-09,25.3,28.2
2023-05-10,32.2,30.6
2023-05-11,32.5,33.1
2023-05-12,31.5,32.4
2023-05-13,34.9,37.9
2023-05-14,38.5,39.2
2023-05-15,41.0,37.0
2023-05-16,38.7,38.5
2023-05-17,38.8,39.0
2023-05-18,38.1,35.8
2023-05-19,39.0,37.8
2023-05-20,42.1,40.8
2023-05-21,45.5,42.6
2023-05-22,46.2,44.2
2023-05-23,42.6,39.6
2023-05-24,39.9,38.3
2023-05-25,39.2,36.5
2023-05-26,37.2,39.6
2023-05-27,37.4,36.5
2023-05-28,36.7,35.6
2023-05-29,38.5,37.0
2023-05-30,37.9,36.5
2023-05-31,40.8,36.5
2023-06-01,39.4,40.1
2023-06-02,39.4,41.2
2023-06-03,37.9,40.8
2023-06-04,38.3,39.6
2023-06-05,44.6,40.8
2023-06-06,45.3,43.5
2023-06-07,43.0,43.0
2023-06-08,44.1,42.6
2023-06-09,40.6,38.3
2023-06-10,42.1,42.8
2023-06-11,40.6,42.8
2023-06-12,43.0,40.8
2023-06-13,38.8,41.7
2023-06-14,40.5,43.7
2023-06-15,35.6,36.3
2023-06-16,35.6,38.5
2023-06-17,39.2,40.5
2023-06-18,42.3,43.0
2023-06-19,36.7,37.9
2023-06-20,30.0,34.0
2023-06-21,29.7,32.4
2023-06-22,32.9,33.3
2023-06-23,46.4,44.1
2023-06-24,35.1,38.3
2023-06-25,41.7,41.0
2023-06-26,44.2,43.9
2023-06-27,47.3,43.5
2023-06-28,39.9,37.0
2023-06-29,41.4,42.1
2023-06-30,46.2,44.6
2023-07-01,50.7,50.9
