stream,source,stream_code,full_name
mid_teton,glacier,MT,Middle Teton
delta,glacier,DE,Delta
cloudveil,sub_ice,CV,Cloudveil
skillet,glacier,SK,Skillet
n_teton,snowmelt,NT,North Teton
s_teton,snowmelt,ST,South Teton
grizzly,snowmelt,GR,Grizzly
s_cascade,sub_ice,SC,South Cascade
windcave,sub_ice,WC,Wind Cave
s_ak_basin,sub_ice,AK,S. AK Basin
gusher,sub_ice,GU,Gusher
paintbrush,snowmelt,PB,Paintbrush
silver_run,snowmelt,SR,Silver Run
