Date,Order,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019,temp_2020,temp_2021,temp_2022,,
21-Aug,qoo,,13.03941667,2.692729167,11.88816667,10.39261574,9.669,5.131958333,,,
22-Aug,qpo,,14.321375,2.624072917,7.878291667,9.941203704,14.720375,4.376333333,,,
23-Aug,r,,13.39376042,2.6973125,9.148666667,10.06178241,15.61929167,8.154083333,,,
24-Aug,rop,,12.86902083,2.68675,12.58991667,13.1193287,14.5335,9.005708333,,,
25-Aug,rpp,,11.77264583,2.668510417,13.82229167,14.13331019,12.92825,12.95229167,,,
26-Aug,rqp,,11.4845625,2.810166667,10.23616667,11.80243056,9.532708333,12.63,,,
27-Aug,s,,11.95798958,3.024145833,2.418,13.35777778,10.94391667,12.58241667,,,
28-Aug,spq,,14.10445833,3.0806875,3.533125,15.71356481,12.085875,12.34583333,,,
29-Aug,sqq,,15.72847917,3.05425,5.982333333,15.81532407,13.68895833,13.37275,,,
30-Aug,srq,,15.03823958,3.007322917,7.88375,15.48275463,12.51525,14.59641667,,,
31-Aug,t,,13.29661458,2.935020833,9.404083333,13.1580787,3.886291667,14.86925,,,
1-Sep,tqr,,13.806,2.991583333,10.47908333,12.94861111,8.65325,14.68845833,,,
2-Sep,trr,,12.02202083,3.223239583,11.17179167,15.3175463,13.72175,12.43970833,,,
3-Sep,tsr,,9.875489583,3.260875,12.15091667,15.36027778,15.816875,12.76908333,,,
4-Sep,u,,9.029541667,3.164885417,13.26666667,16.07002315,17.431125,12.81025,,,
5-Sep,urs,,5.94453125,3.04825,13.63525,16.36365741,18.120875,15.19233333,,,
6-Sep,uss,,6.502020833,2.595802083,13.946375,10.93025463,17.49891667,15.59145833,,,
7-Sep,uts,,8.516416667,2.118625,15.16325,5.541226852,11.11145833,15.84708333,,,
8-Sep,v,,8.5526875,2.071791667,13.682625,5.550555556,2.929,16.36608333,,,
9-Sep,vst,,8.68184375,1.992833333,13.35304167,4.737476852,4.561291667,17.624375,,,
10-Sep,vtt,,9.80790625,2.156333333,12.98766667,4.483888889,6.812958333,15.44204167,,,
11-Sep,vut,,11.14442708,2.377760417,13.45575,3.02162037,7.150208333,11.099875,,,
12-Sep,w,,9.045625,2.6813125,12.39354167,4.456018519,7.844333333,9.857541667,,,
13-Sep,wtu,,5.622010417,2.8381875,9.599625,6.955671296,8.28225,11.32366667,,,
14-Sep,wuu,,6.34240625,3.16453125,12.39941667,8.667453704,8.873416667,10.89658333,,,
15-Sep,wvu,,5.502604167,2.613270833,15.02045833,11.16409722,9.055583333,12.37008333,,,
16-Sep,x,,5.632354167,1.48959375,13.06525,9.617546296,10.66233333,10.442375,,,
17-Sep,xuv,,6.463385417,0.38734375,12.88325,2.965972222,12.43920833,9.986041667,,,
18-Sep,xvv,,7.1384375,1.575958333,12.543625,5.753101852,10.99216667,9.856958333,,,
19-Sep,xwv,,8.083885417,0.716479167,11.64466667,8.450787037,6.385708333,3.429708333,,,
20-Sep,xy,,9.905229167,0.023802083,7.168291667,2.372430556,5.830416667,0.841791667,,,
21-Sep,y,,10.142375,0.088625,9.003083333,2.002106481,9.434875,3.156833333,,,
22-Sep,yvw,,5.741583333,0.134416667,12.22433333,2.320069444,9.150708333,6.882291667,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
