"ï»¿""Plot Title: 20155861""",,,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861),
132,8/11/2017 6:59,0.852,,,,,,
133,8/11/2017 7:59,1.18,,,,,,
134,8/11/2017 8:59,2.477,,,,,,
135,8/11/2017 9:59,3.854,,,,,,
136,8/11/2017 10:59,5.308,,,,,,
137,8/11/2017 11:59,6.687,,,,,,
138,8/11/2017 12:59,7.066,,,,,,
139,8/11/2017 13:59,5.308,,,,,,
140,8/11/2017 14:59,4.35,,,,,,
141,8/11/2017 15:59,4.636,,,,,,
142,8/11/2017 16:59,3.854,,,,,,
143,8/11/2017 17:59,3.88,,,,,,
144,8/11/2017 18:59,3.116,,,,,,
145,8/11/2017 19:59,2.37,,,,,,
146,8/11/2017 20:59,1.967,,,,,,
147,8/11/2017 21:59,1.615,,,,,,
148,8/11/2017 22:59,1.507,,,,,,
149,8/11/2017 23:59,1.398,,,,,,
150,8/12/2017 0:59,1.507,,,,,,
151,8/12/2017 1:59,1.48,,,,,,
152,8/12/2017 2:59,1.317,,,,,,
153,8/12/2017 3:59,1.344,,,,,,
154,8/12/2017 4:59,1.126,,,,,,
155,8/12/2017 5:59,1.017,,,,,,
156,8/12/2017 6:59,1.017,,,,,,
157,8/12/2017 7:59,1.262,,,,,,
158,8/12/2017 8:59,3.168,,,,,,
159,8/12/2017 9:59,4.869,,,,,,
160,8/12/2017 10:59,6.153,,,,,,
161,8/12/2017 11:59,7.569,,,,,,
162,8/12/2017 12:59,8.245,,,,,,
163,8/12/2017 13:59,6.788,,,,,,
164,8/12/2017 14:59,6.331,,,,,,
165,8/12/2017 15:59,4.636,,,,,,
166,8/12/2017 16:59,6.179,,,,,,
167,8/12/2017 17:59,5.231,,,,,,
168,8/12/2017 18:59,3.617,,,,,,
169,8/12/2017 19:59,2.637,,,,,,
170,8/12/2017 20:59,1.94,,,,,,
171,8/12/2017 21:59,1.724,,,,,,
172,8/12/2017 22:59,1.561,,,,,,
173,8/12/2017 23:59,1.425,,,,,,
174,8/13/2017 0:59,1.588,,,,,,
175,8/13/2017 1:59,1.371,,,,,,
176,8/13/2017 2:59,1.235,,,,,,
177,8/13/2017 3:59,1.18,,,,,,
178,8/13/2017 4:59,1.344,,,,,,
179,8/13/2017 5:59,1.208,,,,,,
180,8/13/2017 6:59,1.534,,,,,,
181,8/13/2017 7:59,1.94,,,,,,
182,8/13/2017 8:59,3.38,,,,,,
183,8/13/2017 9:59,4.973,,,,,,
184,8/13/2017 10:59,5.36,,,,,,
185,8/13/2017 11:59,4.428,,,,,,
186,8/13/2017 12:59,5.924,,,,,,
187,8/13/2017 13:59,4.532,,,,,,
188,8/13/2017 14:59,4.895,,,,,,
189,8/13/2017 15:59,5.102,,,,,,
190,8/13/2017 16:59,4.168,,,,,,
191,8/13/2017 17:59,3.696,,,,,,
192,8/13/2017 18:59,3.195,,,,,,
193,8/13/2017 19:59,2.956,,,,,,
194,8/13/2017 20:59,2.182,,,,,,
195,8/13/2017 21:59,2.262,,,,,,
196,8/13/2017 22:59,2.37,,,,,,
197,8/13/2017 23:59,2.074,,,,,,
198,8/14/2017 0:59,2.316,,,,,,
199,8/14/2017 1:59,1.724,,,,,,
200,8/14/2017 2:59,1.724,,,,,,
201,8/14/2017 3:59,1.425,,,,,,
202,8/14/2017 4:59,1.344,,,,,,
203,8/14/2017 5:59,1.48,,,,,,
204,8/14/2017 6:59,1.643,,,,,,
205,8/14/2017 7:59,1.994,,,,,,
206,8/14/2017 8:59,2.155,,,,,,
207,8/14/2017 9:59,2.423,,,,,,
208,8/14/2017 10:59,3.88,,,,,,
209,8/14/2017 11:59,5.77,,,,,,
210,8/14/2017 12:59,5.821,,,,,,
211,8/14/2017 13:59,4.298,,,,,,
212,8/14/2017 14:59,4.168,,,,,,
213,8/14/2017 15:59,3.327,,,,,,
214,8/14/2017 16:59,3.38,,,,,,
215,8/14/2017 17:59,2.77,,,,,,
216,8/14/2017 18:59,2.396,,,,,,
217,8/14/2017 19:59,2.047,,,,,,
218,8/14/2017 20:59,1.886,,,,,,
219,8/14/2017 21:59,1.751,,,,,,
220,8/14/2017 22:59,1.453,,,,,,
221,8/14/2017 23:59,1.289,,,,,,
222,8/15/2017 0:59,1.153,,,,,,
223,8/15/2017 1:59,1.099,,,,,,
224,8/15/2017 2:59,1.153,,,,,,
225,8/15/2017 3:59,1.262,,,,,,
226,8/15/2017 4:59,1.153,,,,,,
227,8/15/2017 5:59,0.852,,,,,,
228,8/15/2017 6:59,0.742,,,,,,
229,8/15/2017 7:59,0.825,,,,,,
230,8/15/2017 8:59,2.637,,,,,,
231,8/15/2017 9:59,4.011,,,,,,
232,8/15/2017 10:59,5.488,,,,,,
233,8/15/2017 11:59,7.945,,,,,,
234,8/15/2017 12:59,6.382,,,,,,
235,8/15/2017 13:59,6.179,,,,,,
236,8/15/2017 14:59,5.668,,,,,,
237,8/15/2017 15:59,5.128,,,,,,
238,8/15/2017 16:59,5.668,,,,,,
239,8/15/2017 17:59,3.906,,,,,,
240,8/15/2017 18:59,2.903,,,,,,
241,8/15/2017 19:59,2.744,,,,,,
242,8/15/2017 20:59,1.994,,,,,,
243,8/15/2017 21:59,1.615,,,,,,
244,8/15/2017 22:59,1.425,,,,,,
245,8/15/2017 23:59,1.235,,,,,,
246,8/16/2017 0:59,1.044,,,,,,
247,8/16/2017 1:59,0.934,,,,,,
248,8/16/2017 2:59,0.88,,,,,,
249,8/16/2017 3:59,0.797,,,,,,
250,8/16/2017 4:59,0.852,,,,,,
251,8/16/2017 5:59,0.797,,,,,,
252,8/16/2017 6:59,0.825,,,,,,
253,8/16/2017 7:59,0.962,,,,,,
254,8/16/2017 8:59,3.195,,,,,,
255,8/16/2017 9:59,5.334,,,,,,
256,8/16/2017 10:59,6.99,,,,,,
257,8/16/2017 11:59,7.97,,,,,,
258,8/16/2017 12:59,8.965,,,,,,
259,8/16/2017 13:59,8.693,,,,,,
260,8/16/2017 14:59,8.494,,,,,,
261,8/16/2017 15:59,6.99,,,,,,
262,8/16/2017 16:59,7.343,,,,,,
263,8/16/2017 17:59,5.462,,,,,,
264,8/16/2017 18:59,3.696,,,,,,
265,8/16/2017 19:59,2.797,,,,,,
266,8/16/2017 20:59,2.262,,,,,,
267,8/16/2017 21:59,1.886,,,,,,
268,8/16/2017 22:59,1.778,,,,,,
269,8/16/2017 23:59,1.724,,,,,,
270,8/17/2017 0:59,1.697,,,,,,
271,8/17/2017 1:59,1.643,,,,,,
272,8/17/2017 2:59,1.534,,,,,,
273,8/17/2017 3:59,1.425,,,,,,
274,8/17/2017 4:59,1.317,,,,,,
275,8/17/2017 5:59,1.18,,,,,,
276,8/17/2017 6:59,1.18,,,,,,
277,8/17/2017 7:59,1.371,,,,,,
278,8/17/2017 8:59,3.538,,,,,,
279,8/17/2017 9:59,5.565,,,,,,
280,8/17/2017 10:59,7.368,,,,,,
281,8/17/2017 11:59,8.693,,,,,,
282,8/17/2017 12:59,8.841,,,,,,
283,8/17/2017 13:59,7.945,,,,,,
284,8/17/2017 14:59,7.192,,,,,,
285,8/17/2017 15:59,8.319,,,,,,
286,8/17/2017 16:59,7.995,,,,,,
287,8/17/2017 17:59,6.535,,,,,,
288,8/17/2017 18:59,4.063,,,,,,
289,8/17/2017 19:59,3.248,,,,,,
290,8/17/2017 20:59,2.664,,,,,,
291,8/17/2017 21:59,2.155,,,,,,
292,8/17/2017 22:59,1.913,,,,,,
293,8/17/2017 23:59,1.751,,,,,,
294,8/18/2017 0:59,1.588,,,,,,
295,8/18/2017 1:59,1.48,,,,,,
296,8/18/2017 2:59,1.371,,,,,,
297,8/18/2017 3:59,1.262,,,,,,
298,8/18/2017 4:59,1.18,,,,,,
299,8/18/2017 5:59,1.126,,,,,,
300,8/18/2017 6:59,1.126,,,,,,
301,8/18/2017 7:59,1.235,,,,,,
302,8/18/2017 8:59,3.512,,,,,,
303,8/18/2017 9:59,5.693,,,,,,
304,8/18/2017 10:59,7.594,,,,,,
305,8/18/2017 11:59,9.064,,,,,,
306,8/18/2017 12:59,9.879,,,,,,
307,8/18/2017 13:59,10.1,,,,,,
308,8/18/2017 14:59,9.928,,,,,,
309,8/18/2017 15:59,9.361,,,,,,
310,8/18/2017 16:59,8.494,,,,,,
311,8/18/2017 17:59,7.167,,,,,,
312,8/18/2017 18:59,4.48,,,,,,
313,8/18/2017 19:59,3.538,,,,,,
314,8/18/2017 20:59,2.797,,,,,,
315,8/18/2017 21:59,2.423,,,,,,
316,8/18/2017 22:59,2.155,,,,,,
317,8/18/2017 23:59,1.94,,,,,,
318,8/19/2017 0:59,1.859,,,,,,
319,8/19/2017 1:59,1.697,,,,,,
320,8/19/2017 2:59,1.534,,,,,,
321,8/19/2017 3:59,1.453,,,,,,
322,8/19/2017 4:59,1.398,,,,,,
