source,magnitude,text,Q2.5,Q97.5
glacier,-0.011808561061355962,Degrees C per year,-0.2027993172718563,0.1817436402707598
rock_glacier,0.30614920941702767,Degrees C per year,-0.11930857153963137,0.724293907092462
snowfield,0.053134714286202755,Degrees C per year,-0.3352882669135117,0.4389561040061767
